,Product Details,ASIN,Brand,Price,Sales,Revenue,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
3517,"Ahmad Tea Lemon, Mate & Matcha Green Tea ""Slim"" Infusion - 20 Teabags (Pack of 1)",B0898WMRHY,Ahmad Tea,3,132,396,13574,2.43,1,4,97,7,6,Amazon,Drinks,Standard Parcel,AMZ,3.1x5.2x2.7,0.13,08-11-2020
3518,"Organic Japanese Sencha Green Tea - Upper Grade - 50g. Sencha Loose Leaf Green Tea, 100% Bio, Natural and Pure. First harvest Green Tea Leaves cultivated in Japan. NaturaleBio",B07QNR2DS1,NaturaleBio,5.89,205,1207,11682,2.04,2,5,763,7,7,NaturaleBio,Drinks,Standard Parcel,FBA,4.0x8.1x0.6,0.13,03-05-2019
3519,Flowering Tea Bulb by Charbrew 5 Different Blooming Tea Flowers Individually Vacuum Sealed Green and Jasmine Tea Balls,B07CRN38T5,Charbrew,6.99,48,336,7946,2.76,1,5,442,4,1,Charbrewtea,Drinks,Small Oversize,FBA,2.6x5.0x2.4,0.26,4/29/2018
3520,"English Tea Shop Organic Fairtrade Peppermint Fairtrade, 100g & Organic Fairtrade Green Tea, 100g",B0978G9HJM,English Tea Shop,12.7,120,1524,8722,,1,5,648,5,3,Amazon,Grocery,,AMZ,,,6/15/2021
3521,Clipper Organic Fairtrade Green with Lemon 20 Tea Bags (Pack of 6),B0764HR8BH,Clipper,11.94,124,1481,9337,4.16,5,5,121,14,2,,Drinks,Large Oversize,AMZ,5.5x10.8x3.5,0.77,9/13/2017
3522,Sprouting Jasmine Green Tea 100 Bags,B0009J2CLM,Sprouting,4.39,105,461,10820,2.69,8,4,130,2,1,PLATINUM EXPERIENCE,Drinks,Large Oversize,FBA,5.6x9.4x3.0,0.71,03-04-2021
3523,"Midori Spring Organic Ceremonial Matcha - Gold Class - 1st Harvest Premium Japanese Matcha Green Tea Powder [Certified Organic, Vegan, Kosher] (30g)",B00TSSDLGK,Midori Spring,22.96,166,3811,11273,5.7,1,5,1764,6,1,Life & Food Amz Uk,Drinks,Standard Parcel,FBA,2.2x2.2x2.1,0.15,4/23/2015
3524,The Tea Makers of London Flowering Tea Gift - 5 Bulbs Pack,B00QKERGO8,The Tea Makers of London,7.95,221,1757,8667,2.83,1,5,337,4,6,The Tea Makers of London,Drinks,Standard Parcel,FBA,3.2x4.1x3.1,0.13,12-04-2014
3525,"Rokit Pods | Organic Barley 'Coffee' Pods | Decaf Alternative | Nespresso Coffee Machine Compatible Pods | Compostable Capsules | Instant Drink | No More Scooping, Whisking or Dust | 10 Pods Multipack",B07R5VTYCR,Rokit,8.97,130,1166,8499,2.94,3,4,309,9,0,Rokit Health,Drinks,Standard Parcel,FBA,2.8x6.0x1.3,0.13,4/29/2019
3526,Matcha Green Tea Powder 1Kg | Peak Supps Packaging May Vary,B076574D9Q,Peak Supps,29.99,234,7018,10234,,1,4,1416,4,0,Peak Supps - Supplements,Grocery,,MFN,,,10-03-2017
3527,The Tea Makers of London Natural Chinese Jasmine Green Loose Leaf Tea 1Kg Catering Pack,B004L7K0FI,The Tea Makers of London,38,149,5662,11299,8.46,1,5,188,2,2,The Tea Makers of London,Drinks,,MFN,,2.65,4/22/2011
3528,"DIETERS Drink Dieters Tea, 30 Bags",B01K8T4O8G,Uncle Lee's,9.98,60,599,14070,3,8,4,461,1,9,STG Ltd (VAT REGISTERED),Drinks,Standard Parcel,FBA,4.1x4.3x2.3,0.2,06-05-2020
3529,"T2 Tea Jade Mountain Green Tea, 25 Teabags in Box 75 g",B07S6HG91G,T2 Tea,8,70,560,10239,2.84,1,5,104,5,0,Amazon,Drinks,Standard Parcel,AMZ,3.5x3.5x3.5,0.22,5/24/2019
3530,Twinings Chocolate Coconut Green Tea 80 Tea Bags (Multipack of 4 x 20 Envelopes),B0737BRJK9,Twinings,10.76,150,1614,12107,3.98,1,5,61,6,7,Amazon,Drinks,Large Oversize,AMZ,5.3x11.0x3.2,0.82,6/16/2017
3531,"Organic Matcha Green Tea Powder - Ceremonial Grade -. Organic Japanese Tea Produced in Uji, Kyoto. Ideal for Drinking, Cooking and with Milk. 30 gr Tin. NaturaleBio",B01N1ZEFST,NaturaleBio,8.79,156,1371,11527,2.91,1,5,708,9,5,NaturaleBio,Drinks,Standard Parcel,FBA,2.2x2.6x2.1,0.15,01-05-2017
3532,Tassimo Tea Time Mint Green Tea Pods - 10 Pack (160 Drinks),B08FB93XQB,Tassimo,36.99,117,4328,16202,,3,5,1006,6,4,Luzern,Drinks,,MFN,,,08-05-2020
3533,"Yogi 0076950450219 Green tea kombucha, contains caffeine, 16 pieces",B01ANU9HNM,Yogi,6.41,185,1186,11601,3.17,7,5,634,8,1,Premium Brands For You,Grocery,Standard Parcel,FBA,3.2x4.4x2.8,0.15,12/13/2012
3534,"Twinings Green Tea Selection Variety Gift Set (40 Teabags), Perfect Alternative Birthday Present",B01LXB9BPA,Twinings,7.53,87,655,13543,2.94,1,5,26,8,0,Amazon,Drinks,Small Oversize,AMZ,5.6x6.4x2.9,0.4,9/19/2016
3535,Clearspring Organic Japanese Genmaicha Tea 20 Bags (Pack of 3),B084JL5KNF,Clearspring,9.88,62,613,11426,3.14,11,5,38,1,2,SuperfoodUK,Grocery,Large Oversize,FBA,5.8x8.7x3.6,0.62,02-06-2020
3536,500gram Loose Leaf Green Tea by Mokhtar of London,B072N34Z6X,Mokhtar Green Tea,7.44,97,722,11602,3.64,9,4,147,9,4,uk-unique,Grocery,Large Oversize,MFN,4.8x6.9x3.5,1.23,06-12-2017
3537,"Cartwright & Butler English Breakfast Tea Bags | Pack of 30 Tea Bags | Presented in a Signature Clip-Lid Tin | Robust, Full-Bodied Black Leaf Flavour | Rich Finish and Malty Undertones - 30 Tea Bags",B00G2BD6LG,Cartwright & Butler,6.5,120,780,13576,2.86,2,5,283,2,6,Amazon,Drinks,Large Oversize,AMZ,4.4x7.0x3.4,0.65,10/21/2013
3538,Teapigs Popcorn Tea Bags Made With Whole Leaves (1 Pack of 15 Tea Bags),B0037B28FY,Tea Pigs,4.15,183,759,11262,2.54,6,4,235,6,2,Amazon,Drinks,Standard Parcel,AMZ,3.2x6.8x1.7,0.09,2/15/2010
3539,Arizona Original Green Tea with Honey 500 ml (Pack of 6),B00BHXMZ20,Arizona,9.69,75,727,11490,5.33,16,5,204,9,3,SERENDIB GLOBAL FOODS,Drinks,Large Oversize,MFN,8.3x8.8x8.2,7.5,2/16/2013
3540,JustIngredients Essentials Green Tea Sencha 1 Kg,B00I9X1FI6,JustIngredients,14.24,68,968,14864,4.84,1,4,122,3,0,Amazon,Drinks,Large Oversize,AMZ,8.6x12.8x3.2,2.27,02-03-2014
3541,"Pukka Herbs Wonder Berry Green, Organic Herbal Tea with Elderberry & Blackcurrant (4 Pack, 80 Tea bags)",B07QT3J1J2,Pukka Herbs,11.96,83,993,11555,4.33,1,5,11,8,1,Amazon,Drinks,Large Oversize,AMZ,5.8x11.3x3.2,0.97,6/17/2020
3542,Birchall Green Tea & Peach - 15 Plastic-Free Prism Tea Bags,B078NWYW2M,Birchall Tea,3.99,80,319,13190,2.66,4,4,44,4,0,Amazon,Drinks,Standard Parcel,AMZ,3.1x6.0x1.9,0.13,12/28/2017
3543,Cinnamon Matcha Green Tea Powder 50g by PureChimp | Ceremonial Grade from Japan | Pesticide-Free | Recyclable Glass Jar & Aluminium Lid,B08CRJ62T8,PureChimp,9.95,67,667,12294,3.13,2,5,147,7,6,PureChimp,Drinks,Small Oversize,FBA,2.7x3.7x2.6,0.38,07-10-2020
3544,"Twinings Pure Green Tea 80 Single Tea Bags, 200g",B007444WA4,Twinings,8.45,124,1048,11440,3.62,19,5,66,7,5,Aarmish,Drinks,Small Oversize,FBA,5.3x5.7x2.8,0.53,09-07-2012
3545,Good Earth - Moroccan Mint Tea – Refreshingly Natural - Herbal Tea - Pack of 5 x 15 Biodegradable Teabags,B08DL5SCK7,Good Earth,21.99,109,2397,11745,5.27,4,5,44,5,0,Amazon,Drinks,Large Oversize,MFN,6.3x11.3x3.4,0.73,7/24/2020
3546,"VAHDAM, Green Tea Sampler, 5 TEAS - Tea Variety Pack | Assorted Green Tea Bags | Organic Green Tea, Mint, Earl Grey, Chamomile Tea Bags | 20 Ct | Tea Gift Set & Tea Gift for Tea Lovers",B00M56WWX0,VAHDAM,7.99,68,543,23761,2.84,1,4,57,9,0,Vahdam Teas,Drinks,Standard Parcel,FBA,4.5x6.0x3.8,0.18,7/23/2014
3547,"Tick Tock Organic Green Rooibos Tea 40 Tea Bags (Pack of 4, Total 160 Sachets)",B0133VNQB2,Tick Tock Organic Green Rooibos Tea,13.56,113,1532,14064,4.57,5,5,133,6,0,SuperfoodUK,Drinks,Large Oversize,FBA,6.3x11.5x3.8,1.06,10-03-2013
3548,"Japanese Organic Matcha Green Tea Powder - Culinary Grade - 50 gr. Tea Produced in Japan, Uji, Kyoto. Use for Cooking, Baking, Smoothie Making and with Milk. Vegan & Vegetarian Friendly",B0769WV68W,NaturaleBio,5.38,140,753,13678,2,2,4,1896,8,7,NaturaleBio,Drinks,Standard Parcel,FBA,5.0x8.1x0.6,0.13,1/15/2018
3549,"T2 Tea Big Breakfast Black Tea Gift Pack, 3 Loose Leaf in Mini Tin, 120 g",B08HF6JKZ6,T2 Tea,18.74,92,1724,11143,5.37,1,5,74,7,0,Amazon,Drinks,Large Oversize,AMZ,3.3x8.8x3.1,1.15,09-02-2020
3550,Clipper Organic Pure Green Tea (Pack of 6),B0764D17RX,Clipper,11.94,191,2281,11574,4.16,6,5,132,13,0,Amazon,Drinks,Large Oversize,AMZ,5.5x11.0x3.4,0.79,9/13/2017
3551,"OMGTea Organic Matcha Green Tea Powder, 30g | Highest Ceremonial Grade AAA+ from Japan | Premium Matcha Tea – Two Star Great Taste Award 2019 Boost Energy, Metabolism & Focus",B003VNEL58,OMGTEA,31.95,48,1534,37068,7.1,2,4,50,9,0,OMGTEA,Drinks,Standard Parcel,FBA,2.4x2.4x1.1,0.13,7/13/2010
3552,Pine Needle Tea pinus strobus Health Beverage 50g Eastern White Pine,B09CQ8WZXX,Pinus,7.99,84,671,13543,2.84,1,5,3,1,1,Miss Jones Hair & Beauty,Grocery,Standard Parcel,FBA,6.9x10.2x2.1,0.13,8/16/2021
3553,"Green Tea Loose Leaf Tea, Premium Japanese Sencha Single Origin-Saemidori-, 100% JAS Organic (80g)【YAMASAN】",B09DPL9ZR3,YAMASAN KYOTO UJI,12,56,672,13586,3.5,1,4,3,6,1,YAMASAN CO LTD,Drinks,Standard Parcel,FBA,4.6x8.4x0.6,0.2,09-05-2021
3554,Whittard Dreamtime Instant Tea 450g,B01NAH1E08,Whittard,13.35,210,2804,13173,4.54,12,5,246,2,-163,KnowingBenefits Ltd,Drinks,Large Oversize,FBA,2.9x5.9x2.9,1.1,12-08-2016
3555,Whittard Mulled Wine Flavour Instant Tea 450g,B01MRV9QXR,Whittard,14.95,176,2631,20157,4.79,6,5,60,2,-347,All-Prime,Drinks,Large Oversize,FBA,4.2x6.3x3.0,1.08,12-08-2016
3556,"Dragonfly Tea Mountain Honeybush, Organic Herbal Tea, 20 Teabags (Pack of 4, 80 Teabags)",B00835OOWE,Dragonfly Tea,9.93,37,367,20917,3.14,7,5,50,2,0,,Drinks,Large Oversize,AMZ,5.8x13.1x2.7,0.66,4/21/2012
3557,"Clipper Calmer Chameleon Chamomile Honeybush Cinnamon 20 Envelopes (Pack of 6, Total 120)",B01ARSJ6D6,Clipper,13.87,28,388,26703,4.62,8,5,24,9,-13,Amazon,Drinks,Large Oversize,AMZ,6.7x8.8x6.1,1.17,1/13/2016
3558,Chai of Madagaskar - Green Honeybush Tea with Delightful Blend of Exotic Fruits 1kg Catering Pack,B00LMMLZX6,The Tea Makers of London,46,11,506,27761,,1,5,76,2,0,The Tea Makers of London,Drinks,,MFN,,,07-07-2014
3559,Ginger - 1kg Pouch,B0074FSG8W,Nothing but Tea,53.07,47,2494,42454,,1,4,160,1,0,,Drinks,,MFN,,,02-03-2012
3560,Whittard Lemon & Lime Flavour Instant Tea 450g,B01MRV9OZJ,Whittard,9.99,177,1768,30210,3.32,3,5,12,2,5,Shreek Bargains,Drinks,Large Oversize,FBA,3.3x6.0x3.1,1.1,12-08-2016
3561,Mullein Leaf Organic Herbal Blend Infusion (Dooars Green Tea - 25 Tea Bags - Unbleached),B07DS8CD4X,Herbal Kingdom,9.99,39,390,26822,,1,4,94,3,0,HerbalKingdom,Drinks,,MFN,,,6/16/2018
3562,Whittard English Fruits Flavour Instant Tea 450g,B01N7G20KJ,Whittard,9.99,168,1678,101785,3.32,3,4,32,1,-374,Shreek Bargains,Drinks,Large Oversize,FBA,3.1x6.1x2.8,1.15,12-08-2016
3563,Whittard Cranberry & Raspberry Flavour Instant Tea 450g,B01N9FFIWW,Whittard,13.18,172,2267,45092,4.51,5,4,34,2,-372,New To You Shop,Drinks,Large Oversize,FBA,3.0x5.9x3.0,1.08,12-08-2016
3564,Whittard Strawberry & Vanilla Flavour Instant Tea 450g,B01N7G29PF,Whittard,9.99,26,260,58275,3.15,1,5,9,2,0,Shreek Bargains,Drinks,Large Oversize,FBA,3.1x5.9x3.0,0.88,12-08-2016
3565,Whittard Mango & Passionfruit Flavour Instant Tea 450g,B01NAH181G,Whittard,12.7,176,2235,60160,4.44,6,4,18,2,5,Snooblz,Drinks,Large Oversize,FBA,3.1x5.9x3.1,1.09,12-08-2016
3566,(3 PACK) - Dragonfly Tea - Organic Mountain Honeybush Tea | 20 sachet | 3 PACK BUNDLE,B00V6I117Q,Dragonfly Tea,9.42,4,38,77150,,2,4,5,4,0,Best4Deals,Drinks,,MFN,,,9/16/2015
3567,Whittard Blackcurrant & Elderflower Flavour Instant Tea 450g,B01N7G28AZ,Whittard,16.98,170,2887,96371,5.09,3,4,11,2,0,Healthy Living for You,Drinks,Large Oversize,MFN,3.0x6.0x2.9,1.08,12-08-2016
3568,Tranquil Dream - Chamomile & Honeybush - Calming & Relax Tea - Organically Grown- Herbal Loose Leaf Tea - Caffeine Free - Tealyra (110g / 4oz),B01FG7847M,tealyra,,2,,101333,,1,5,80,4,0,,Drinks,Small Oversize,FBA,5.6x9.4x2.0,0.31,05-10-2016
3569,Loose Tea Sample Taster Set (Chai Teas),B01LY6A1QU,Adagio Teas,10,1,10,104845,,1,2,1,1,0,Adagio Teas,Drinks,,MFN,,,9/15/2016
3570,Steenbergs Organic Honeybush Loose Leaf Tea,B015WH1BLW,Steenbergs,3.5,3,11,126518,,1,5,1,1,0,Steenbergs,Drinks,,MFN,,,9/27/2015
3571,"Francis & Green - Honeybush, Loose Leaf Herbal Organic Tea, Natural Tea Detox and Sleep Tea, 200g",B00HTQVGAQ,FRANCIS & GREEN,,4,,136341,,1,5,48,1,0,,Drinks,Large Oversize,FBA,5.5x9.4x1.9,0.57,01-01-2014
3572,"Dragonfly Tea Organic Mountain Honeybush Tea, 20 Teabags",B004JBNMQK,Dragonfly,7.01,3,21,139864,2.57,7,3,7,4,0,All Mall Shop,Drinks,Standard Parcel,FBA,3.3x5.7x2.7,0.09,1/14/2011
3573,Organic Honeybush Tea 100g - Premium Loose Leaf Tea - Free UK Delivery,B07L4Z66DX,Hatton Hill Organic,9.62,3,29,141603,2.44,1,5,12,4,0,Hatton Hill,Drinks,,MFN,,0.22,10-02-2017
3574,Rosehip Organic Herbal Blend Infusion (Dooars Green Tea - 25 Tea Bags - Unbleached),B07N5JD8C4,Herbal Kingdom,9.99,2,20,132895,,1,,,3,0,HerbalKingdom,Drinks,,MFN,,,1/27/2019
3575,South African Honeybush Red Loose Leaf Tea - Herbal Tea - Caffeine Free - High Antioxidants Level - Organically Grown (8oz / 220g),B01B3C31I6,tealyra,,,,147574,,1,5,21,4,0,,Drinks,Small Oversize,FBA,7.1x9.5x2.1,0.51,07-01-2014
3576,Chamomile - 1kg Pouch,B0074FRA02,Nothing but Tea,68.23,3,205,149927,,1,5,8,1,0,Nothing but Tea Ltd,Drinks,,MFN,,,02-03-2012
3577,Organic Honeybush Tea 250g - Premium Loose Leaf Tea - Free UK Delivery,B07L514L7B,Hatton Hill Organic,13.27,2,27,154236,3.8,1,4,3,4,0,Hatton Hill,Drinks,,MFN,,0.55,10-02-2017
3578,Eden Bliss Green Honeybush Blend Loose Leaf Tea 1kg Catering Pack,B00LM686D4,The Tea Makers of London,52.95,2,106,158047,,1,5,5,2,0,The Tea Makers of London,Drinks,,MFN,,,07-07-2014
3579,Honeybush Tea Dried Leaves - Cyclopia Intermedia (1kg),B07YY72SX2,YouHerbIt,36.65,2,73,160221,,1,5,1,1,0,YouHerbIt,Drinks,,MFN,,,11-04-2019
3580,Ground Ivy Herbal Blend Infusion (Doublemint - 25 Tea Bags - Unbleached),B07L6D8S9M,Herbal Kingdom,9.95,1,10,168877,,1,,,4,0,HerbalKingdom,Drinks,,MFN,,,12-07-2018
3581,Spearmint Leaf Organic Herbal Blend Infusion (Dooars Green Tea - 25 Tea Bags - Unbleached),B07JJCMGMX,Herbal Kingdom,9.99,2,20,171107,,1,,,3,0,HerbalKingdom,Drinks,,MFN,,,10/18/2018
3582,Buchu Leaf Organic Herbal Blend Infusion (Dooars Green Tea - 25 Tea Bags - Unbleached),B07SRHJRTG,Herbal Kingdom,11.15,3,33,177530,,1,3,4,3,0,HerbalKingdom,Drinks,,MFN,,,06-07-2019
3583,(4 PACK) - Dragonfly Tea - Organic Mountain Honeybush Tea | 20 sachet | 4 PACK BUNDLE,B00V6I12XO,Dragonfly Tea,13.67,2,27,181548,,2,,,4,0,Quasaro,Grocery,,MFN,,,9/16/2015
3584,Gurman's Honeybush Tea - 500g,B0177V5HX4,Gurmans,,3,,204820,,1,5,1,3,0,,Drinks,Large Oversize,FBA,6.2x12.5x2.0,1.15,10/27/2015
3585,"Pickwick Tee Rooibus Tee with Honey, 20 Tea Bags",B0012V0Y20,Pickwick,,,,206792,,1,4,16,1,0,,Drinks,Standard Parcel,FBA,2.7x4.9x2.4,0.13,06-09-2010
3586,White Horehound Organic Herbal Blend Infusion (Dooars Green Tea - 25 Tea Bags - Unbleached),B07LCQTLKT,Herbal Kingdom,9.99,2,20,209066,,1,,,3,0,HerbalKingdom,Drinks,,MFN,,,12/14/2018
3587,Rosemary Leaf Organic Herbal Blend Infusion (Dooars Green Tea - 25 Tea Bags - Unbleached),B07F13TYGM,Herbal Kingdom,9.99,1,10,214183,,1,5,2,3,0,HerbalKingdom,Drinks,,MFN,,,6/25/2018
3588,Cayenne Pepper Herbal Blend Infusion (Doublemint - 25 Tea Bags - Unbleached),B07F2LJR55,Herbal Kingdom,9.95,,0,220454,,1,5,1,4,0,HerbalKingdom,Drinks,,MFN,,,6/27/2018
3589,(12 PACK) - Dragonfly Tea - Organic Mountain Honeybush Tea | 20 sachet | 12 PACK BUNDLE,B00V6I0YWE,Dragonfly Tea,27.87,1,28,220200,,2,5,3,4,0,Best4Deals,Drinks,,MFN,,,9/16/2015
3590,White Willow Bark Organic Herbal Blend Infusion (Dooars Green Tea - 25 Tea Bags - Unbleached),B07DCQTTXZ,Herbal Kingdom,9.99,2,20,219427,,1,5,1,3,0,HerbalKingdom,Drinks,,MFN,,,5/29/2018
3591,English Tea Shop Fairtrade and Organic Honeybush Acai Berry Loose Leaf Tea 100 g,B018TU548A,English Tea Shop,,,,227041,,1,5,12,1,0,Amazon,Drinks,Large Oversize,AMZ,7.7x11.4x5.3,3.35,11/26/2015
3592,Tea-Direct.Co.Uk Rooibos Honeybush Loose Leaf Tea 250g(Pack of 1),B07CSMGVPS,Tea-Direct.co.uk,13.44,1,13,226003,4.26,1,,,2,0,Amazon,Drinks,Large Oversize,AMZ,6.7x9.4x1.7,0.62,05-01-2018
3593,Dragonfly Tea Luxury Jasmine Dragon Pearls China Green Leaf Tea,B07JK5JSDJ,Dragonfly,8.34,,0,231251,2.61,3,5,3,1,0,,Drinks,Standard Parcel,AMZ,3.1x5.6x2.8,0.15,10/19/2018
3594,(6 PACK) - Dragonfly Tea - Organic Mountain Honeybush Tea | 20 sachet | 6 PACK BUNDLE,B00V6I14LO,Dragonfly Tea,15.93,,0,233205,,2,5,6,4,0,Best4Deals,Drinks,,MFN,,,3/25/2015
3595,Organic Honeybush Tea 1kg - Premium Loose Leaf Tea - Free UK Delivery,B07L52167C,Hatton Hill Organic,33.16,,0,238187,7.73,1,5,2,4,0,Hatton Hill,Drinks,,MFN,,2.2,10-02-2017
3596,"Peppermint, Honeybush and Spearmint Tea, Organic Loose Leaf Herbal Tea Gift Set, 100g Caddy",B01MFHXTGF,Chateau Rouge,,,,250302,,1,5,6,7,0,,Drinks,Large Oversize,,3.5x6.0x3.0,0.79,11-06-2016
3597,Wormwood Organic Herbal Blend Infusion (White Peony Tea - 25 Tea Bags - Unbleached),B07XFGMHKL,Herbal Kingdom,,,,246682,,1,,,3,0,,Drinks,,,,,09-05-2019
3598,"Wildharvest Honeybush, Detox Tea for Weightloss, Organic Herbal Tea, 400g Loose Leaf Tea Pouch",B01M7ZTADJ,Chateau Rouge,,,,252712,,1,4,32,3,0,,Drinks,Large Oversize,FBA,5.9x11.4x3.5,0.95,11-06-2016
3599,The Tea Makers of London Chai of Madagaskar Green Honeybush Tea with Delightful Blend of Exotic Fruits in Catering Pack 500 g,B00LMMLZWM,The Tea Makers of London,,,,255716,,1,5,1,2,0,,Drinks,Large Oversize,MFN,6.3x7.7x3.5,1.23,08-11-2015
3600,Bay Leaf Organic Herbal Blend Infusion (Dooars Green Tea - 25 Tea Bags - Unbleached),B07F8Z9M2Y,Herbal Kingdom,9.99,,0,256117,,1,4,7,3,0,HerbalKingdom,Drinks,,MFN,,,07-05-2018
3601,Organic Honeybush Tea 50g - Premium Loose Leaf Tea - Free UK Delivery,B07L4YSH62,Hatton Hill Organic,8.35,,0,259935,2.14,1,4,1,4,0,Hatton Hill,Drinks,,MFN,,0.11,10-02-2017
3602,Liquorice Root Organic Herbal Blend Infusion (Dooars Green Tea - 25 Tea Bags - Unbleached),B07F6YZVP4,Herbal Kingdom,9.99,,0,262997,,1,,,3,0,HerbalKingdom,Drinks,,MFN,,,07-03-2018
3603,Senna Leaves Organic Herbal Blend Infusion (Dooars Green Tea - 25 Tea Bags - Unbleached),B07JNN5GM5,Herbal Kingdom,9.99,,0,267494,,1,5,2,3,0,HerbalKingdom,Drinks,,MFN,,,10/24/2018
3604,"2X Connect- Chamomile, Lavender & Honeybush with Valerian (Chamomile)",B071DRYM1L,Positivitea,,,,268262,,1,5,1,1,0,,Drinks,,MFN,,,4/28/2017
3605,"Tea Huggers Yummy Mummy Breastfeeding Tea (Pack of 2, Total 30 Premium Tea Bags)",B013JM96CS,Tea Huggers,,,,275534,,1,4,6,4,0,,Drinks,Large Oversize,MFN,4.2x7.7x3.7,0.57,08-04-2015
3606,Revolution Honeybush Caramel Tea - Whole Leaf Rooibos Tea - 16 Pyramid Tea Bags,B004QQSV9G,Revolution,6.75,,0,279809,2.74,2,5,5,5,0,Crave Wellbeing,Drinks,Standard Parcel,MFN,3.2x5.2x2.6,0.13,3/28/2012
3607,Frankincense Organic Herbal Blend Infusion (Dooars Green Tea - 25 Tea Bags - Unbleached),B07V32D3HG,Herbal Kingdom,11.6,,0,282335,,1,,,3,0,HerbalKingdom,Drinks,,MFN,,,07-09-2019
3608,Positivitea | Chamomile Honeybush Lavender & Valerian | 1 x 12 bags,B071VD7DWV,Positivitea,,,,292853,,1,5,2,1,0,,Grocery,,MFN,,,05-03-2017
3609,Nothing But Tea Honey Bush Malaika 100 g,B00LX8KOI6,Nothing but Tea,5.8,,0,292766,2.24,2,4,3,1,0,,Drinks,Large Oversize,AMZ,5.1x8.5x0.8,0.71,7/16/2014
3610,Lavender Organic Herbal Blend Infusion (Dooars Green Tea - 25 Tea Bags - Unbleached),B07SRJ8MYP,Herbal Kingdom,9.99,,0,292215,,1,,,3,0,HerbalKingdom,Drinks,,MFN,,,06-07-2019
3611,Dragonfly Tea Org Honeybush 20 Sachets - DRF-0220,B00AKFNWK0,Dragonfly Tea,6.28,,0,298043,,3,5,1,4,0,Superfood Market,Grocery,,MFN,,,1/29/2015
3612,MQH Wholefoods™ Raspberry Dried Loose Leaf Herbal Tea Premium Quality! 100% Pure Naturally Grown & Pesticide Free 25g-1kg (1kg),B07T5DW35M,MQH Wholefoods,27.99,,0,297447,,1,,,1,0,Ashra Foods Ltd,Drinks,,MFN,,,06-06-2019
3613,Revolution Honeybush Caramel Herbal Tea - Rooibos Tea - 30 Individually Boxed Pyramid Tea Bags,B007PEPPTA,Revolution,15.99,,0,302770,4.78,1,5,1,3,0,Crave Wellbeing,Drinks,Small Oversize,MFN,4.9x5.9x2.9,0.41,5/13/2017
3614,"No. 1306: Organic Herbal Tea Loose Leaf ""Honeybusch Pure"" - 100 g (3.5 oz) - GAIWAN® Germany - Honey Bush Nature from South Africa",B071J6KNBY,GAIWAN,9.29,,0,312249,2.97,1,4,7,6,0,GAIWAN,Drinks,Standard Parcel,MFN,2.8x3.1x1.7,0.22,5/28/2017
3615,English Tea Shop Organic Honeybush Acai Berry Punch - 16 Pyramid Tea Bags,B01FA77WGC,English Tea Shop,,,,314467,,1,5,2,4,0,,Drinks,Large Oversize,MFN,7.1x12.4x3.6,1.01,07-04-2018
3616,Eucalyptus Leaf Herbal Blend Infusion (Doublemint - 25 Tea Bags - Unbleached),B07SRJ99PB,Herbal Kingdom,9.95,,0,312186,,1,,,4,0,HerbalKingdom,Drinks,,MFN,,,06-07-2019
3617,Shatavari Root Organic Herbal Blend Infusion (Dooars Green Tea - 25 Tea Bags - Unbleached),B07G6T2PML,Herbal Kingdom,9.99,,0,315411,,1,,,3,0,HerbalKingdom,Drinks,,MFN,,,08-05-2018
3618,Schisandra Berry Organic Herbal Blend Infusion (Dooars Green Tea - 25 Tea Bags - Unbleached),B07H2PJCXQ,Herbal Kingdom,11.35,,0,316910,,1,5,1,3,0,HerbalKingdom,Drinks,,MFN,,,09-03-2018
3619,Twinings - A Moment of Calm (Camomile & Honey) 20 bags,B0097AQJLS,Twinings,8.5,,0,317047,2.88,1,4,4,2,0,,Drinks,Standard Parcel,MFN,3.5x5.1x2.2,0.22,09-07-2012
3620,Raspberry Leaf Organic Herbal Blend Infusion (Dooars Green Tea - 25 Tea Bags - Unbleached),B07K1GKSBT,Herbal Kingdom,9.99,,0,324038,,1,,,3,0,HerbalKingdom,Drinks,,MFN,,,10/30/2018
3621,Nothing But Tea Honeybush Chocolate Cake 250 g,B0074FRPUM,Nothing but Tea,13.62,,0,324306,4.29,2,4,2,1,0,Amazon,Drinks,Large Oversize,AMZ,6.4x11.1x1.3,0.62,7/15/2014
3622,Rhodiola Root Organic Herbal Blend Infusion (White Peony Tea - 25 Tea Bags - Unbleached),B07XDCXWYJ,Herbal Kingdom,,,,337095,,1,,,3,0,,Drinks,,,,,09-05-2019
3623,"No. 1275: Organic Herbal Tea Loose Leaf ""Honeybush Vanilla"" - 1000 g (1 kg, 35.3 oz, 2.2 lbs) - GAIWAN® Germany - Honey Bush",B07261ZB8N,GAIWAN,37.99,,0,339309,8.46,1,3,4,6,0,GAIWAN,Drinks,Large Oversize,MFN,6.2x7.4x3.7,2.43,5/28/2017
3624,Oat Straw Organic Herbal Blend Infusion (Dooars Green Tea - 25 Tea Bags - Unbleached),B07N325HMD,Herbal Kingdom,9.99,,0,340856,,1,,,3,0,HerbalKingdom,Drinks,,MFN,,,1/24/2019
3625,Ashwagandha Root Organic Herbal Blend Infusion (Dooars Green Tea - 25 Tea Bags - Unbleached),B07HV9726P,Herbal Kingdom,9.99,,0,342689,,1,4,1,3,0,HerbalKingdom,Drinks,,MFN,,,9/29/2018
