,Product Details,ASIN,Brand,Price,Sales,Revenue,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
32,"Dettol Anti Bacterial Washing Machine Cleaner, 250ml",B011QFZ9DK,Dettol,3,12886,38658,34,2.56,18,5,21106,5,493,Amazon,Grocery,Large Oversize,AMZ,3.5x6.3x2.0,0.64,07-08-2015
33,"Yorkshire Gold, 200 Tea Bags with Tags (total 200 teabags)",B00GLTDKFQ,Yorkshire Tea,17.14,6884,117992,34,5.28,3,5,12783,9,544,,Drinks,Large Oversize,MFN,8.0x11.1x5.0,2.14,11-11-2013
34,"HG Mould Remover Foam Spray, Fast & Effective Mould Spray & Mildew Cleaner, Removes Mouldy Stains From Walls, Tiles, Silicone Seals & More (500ml) - 138050106",B01CRBEUVO,HG,5.5,11852,65186,35,3.05,10,5,16687,5,268,,Grocery,Large Oversize,AMZ,4.7x9.6x2.9,1.37,03-09-2016
35,Persil Bio stain removal first time Laundry Washing Liquid Detergent 100% recyclable bottle 53 Wash 1.431 L,B08J1MQFT3,Persil,6.5,12054,78351,40,3.44,10,5,3777,7,547,Amazon,Grocery,Large Oversize,AMZ,6.7x12.4x2.8,3.59,09-09-2020
36,Chocolate Lovers Hamper Cosmic Box - Selection of Your Favourite Chocolate Bars,B086QRCZ5B,A-Z Sweetshop,11.35,6194,70302,39,4.24,1,5,3514,8,69,CB UK LTD,Hampers & Gourmet Gifts,Large Oversize,FBA,9.0x13.1x1.3,1.74,2/18/2020
37,"Amazon Brand - Solimo Nespresso Compatible Espresso Capsules, 50 capsules (1 x 50)",B08WSPWW6C,Solimo,6.26,12383,77518,37,2.84,1,4,23901,6,147,Amazon,Drinks,Large Oversize,AMZ,5.6x5.9x3.9,0.82,7/19/2021
38,"Persil Powercaps Bio Washing Capsules, 50 wash",B07CMDGCLY,Persil,14.48,12088,175034,37,4.88,2,5,7348,8,380,Amazon,Grocery,Large Oversize,AMZ,9.9x11.8x3.9,3.04,4/23/2018
39,Cadbury Dairy Milk Chocolate Gift Bar 850g,B0714LLB2T,Cadbury,8.49,11293,95878,41,3.19,16,5,19832,5,336,Amazon,Food Cupboard,Large Oversize,AMZ,6.6x16.6x0.7,1.98,9/15/2015
40,"Method Antibacterial Spray, All Purpose Cleaner, Orange Yuzu, 828 ml",B084HT7NJH,Method,2.5,12174,30435,42,2.75,15,5,2110,5,100,Amazon,Grocery,Large Oversize,AMZ,3.3x10.0x3.0,1.96,1/20/2020
41,"Cillit Bang Black Mould Remover, 750ml",B00XVJG1HI,Cillit Bang,2,11929,23858,43,2.89,10,5,10622,8,358,Amazon,Grocery,Large Oversize,AMZ,5.0x10.9x2.8,1.87,11-12-2015
42,"simplehuman CW0298 Code V Custom Fit Bin Liners, Blue Plastic (Pack of 20 Liners)",B06W9KT56R,simplehuman,4.95,12614,62439,36,2.97,5,5,66998,5,172,simplehuman®,Grocery,Large Oversize,MFN,6.1x9.0x1.3,0.66,11-11-2015
43,IRN-BRU | 24 x 330ml Cans | BRU'd in Scotland Since 1901 to a Secret Recipe With 32 Flavours | It Tastes Magic,B0048F1VT2,IRN-BRU,7,10590,74130,48,6.04,20,5,7512,9,238,Amazon,Drinks,Large Oversize,AMZ,10.4x15.9x4.8,18.67,10/21/2010
44,"Flash Powermop Starter Kit, Mop + 10 Absorbing Refill Pads + 500 ml Cleaning Solution + 4 Batteries, Fresh",B07TF2R6CT,FLASH,18.69,8902,166378,46,8.36,13,5,12949,9,481,Amazon,Grocery,Large Oversize,AMZ,6.3x19.7x5.2,4.81,08-01-2019
45,"HIGH5 ZERO Electrolyte Hydration Tablets Added Vitamin C - (Berry, 20 Tab Tube)",B003AIF4Q4,HIGH5,4.19,17196,72051,16,2.54,13,5,7788,6,432,Amazon,Health & Personal Care,Standard Parcel,AMZ,5.7x10.0x1.1,0.22,01-01-2006
46,"Domestos Original Thick Bleach 750ml, Packaging May Vary",B000NJUM5Q,Diversey,0.98,11209,10985,50,2.85,25,5,4817,5,349,Amazon,Grocery,Large Oversize,AMZ,5.7x12.5x2.9,1.98,2/16/2007
47,BARR American Cream Soda | 24 x 330ml Cans | A Fizzy Drink for Everyone | Fizzing with Flavour,B01LTIQAIM,Barr,6,11718,70308,51,5.96,27,5,9779,6,443,Amazon,Drinks,Large Oversize,AMZ,10.5x17.4x4.6,18.47,12/31/2012
48,"M&M's Peanut Chocolate Party Bulk Bag, Christmas Chocolate Gift, Stocking Fillers, 1 kg",B00DGL2GC0,M&M's,6,2748,16488,52,3.15,51,5,17854,8,551,Amazon,Food Cupboard,Large Oversize,AMZ,7.3x8.5x2.2,2.23,02-09-2014
49,Retro Sweets Gift Box: Just Treats Cosmic Gift Box: Jam Packed with The Retro Sweets,B00OQ1P4IC,A-Z Sweetshop,9.97,5048,50329,51,3.02,1,5,7041,9,31,CB UK LTD,Hampers & Gourmet Gifts,Large Oversize,FBA,9.0x13.0x1.4,1.68,10/21/2014
50,"Finish Quantum Ultimate Dishwasher Lemon Scent, Pack of 85 Tablets & Dishwasher Cleaner LEMON, Pack of 8",B096VBLRWZ,Finish,28,11827,331156,53,,1,5,11320,6,234,Amazon,Grocery,,AMZ,,,06-08-2021
51,RUBICON Sparkling Mango | 18 x 330ml Cans | Get Your Tastebuds Tingling with our Rubicon Sparking Range - Packed with Real Fruit Juice | Make the Unboring Choice,B07HVF8LY7,Rubicon,6,11915,71490,55,5.77,13,5,7619,6,347,Amazon,Drinks,Large Oversize,AMZ,8.0x16.1x4.7,14,9/29/2018
52,L’OR Coffee Pod Advent Calendar (24 Nespresso®* Compatible Coffee Capsules),B099MWTMN6,L'OR,26.2,11273,295353,52,6.44,5,5,8236,10,268,Premier Life Store,Drinks,Large Oversize,MFN,10.2x15.1x1.3,0.62,9/22/2021
53,"Stella Artois Belgium Premium Lager Beer Bottle, 20 x 284ml",B06XDBZG3T,STELLA ARTOIS,15.45,1740,26883,115,,1,5,1589,12,9,Amazon,"Beer, Wine & Spirits",Large Oversize,AMZ,9.5x11.9x8.4,20.92,03-03-2017
54,"Dead Man's Fingers Lime Rum, 1.75l",B08VJTS6C6,DEAD MAN'S FINGERS,42.5,12083,513528,56,8.48,3,5,17206,6,1073,Amazon,"Beer, Wine & Spirits",Large Oversize,AMZ,4.4x13.1x4.4,5.86,1/29/2021
55,"Finish All-in-One Max Dishwasher Tablets, Original, 80 tablets",B01MTETL9P,Finish,9.5,12197,115872,58,3.44,18,5,10502,5,200,Amazon,Grocery,Large Oversize,AMZ,9.2x9.8x3.5,3.04,1/30/2017
